,Scores
484,1073.0
485,992.0
486,1107.0
487,1096.0
488,1147.0
489,1374.0
490,1064.0
491,1179.0
492,937.0
493,902.0
494,1020.0
495,1119.0
496,856.0
497,1000.0
498,1178.0
499,1060.0
500,992.0
501,940.0
502,1241.0
503,1029.0
504,1013.0
505,1156.0
506,941.0
507,1207.0
508,1155.0
509,1027.0
510,935.0
511,969.0
512,1104.0
513,977.0
514,1187.0
515,1166.0
516,1217.0
517,805.0
518,1023.0
519,1330.0
520,1208.0
521,1044.0
522,937.0
523,837.0
524,1024.0
525,1255.0
526,1119.0
527,1079.0
528,1022.0
529,900.0
530,1267.0
531,963.0
532,1217.0
533,997.0
534,1132.0
535,843.0
536,875.0
537,1092.0
538,1023.0
539,1123.0
540,1165.0
541,1177.0
542,971.0
543,1043.0
544,1264.0
545,918.0
546,1221.0
547,1148.0
548,961.0
549,960.0
550,1005.0
551,968.0
552,988.0
553,1191.0
554,884.0
555,1064.0
556,1161.0
557,1015.0
558,1108.0
559,1113.0
560,869.0
561,886.0
562,1022.0
563,1046.0
564,1067.0
565,903.0
566,990.0
567,876.0
568,930.0
569,1071.0
570,936.0
571,1041.0
572,946.0
573,1092.0
574,988.0
575,994.0
576,954.0
577,898.0
578,915.0
579,1117.0
580,988.0
581,977.0
582,932.0
583,978.0
584,1377.0
585,1055.0
586,995.0
587,1163.0
588,863.0
589,1034.0
590,1180.0
591,988.0
592,871.0
593,1007.0
594,1299.0
595,1021.0
596,1084.0
597,954.0
598,1029.0
599,1208.0
600,1082.0
601,1030.0
602,1031.0
603,1266.0
604,1153.0
605,1251.0
606,914.0
607,1015.0
608,986.0
609,1015.0
610,1062.0
611,1133.0
612,1064.0
613,1064.0
614,961.0
615,990.0
616,1075.0
617,1075.0
618,908.0
619,881.0
620,1096.0
621,1101.0
622,1013.0
623,1030.0
624,1327.0
625,1110.0
626,1142.0
627,967.0
628,957.0
629,1204.0
630,1033.0
631,873.0
632,1112.0
633,1122.0
634,1227.0
635,1284.0
636,1042.0
637,1049.0
638,1167.0
639,1145.0
640,1106.0
641,954.0
642,824.0
643,891.0
644,1056.0
645,1052.0
646,1100.0
647,780.0
648,902.0
649,1033.0
650,1122.0
651,999.0
652,814.0
653,1031.0
654,1045.0
655,1283.0
656,964.0
657,1232.0
658,1111.0
659,999.0
660,972.0
661,1115.0
662,1100.0
663,1105.0
664,1101.0
665,963.0
666,958.0
667,1151.0
668,1010.0
669,1217.0
670,1056.0
671,1048.0
672,1118.0
673,1186.0
674,1014.0
675,1161.0
676,1180.0
677,1115.0
678,1144.0
679,1007.0
680,1013.0
681,916.0
682,1018.0
683,1172.0
684,1108.0
685,917.0
686,1029.0
687,1102.0
688,1151.0
689,958.0
690,986.0
691,1188.0
692,1121.0
693,906.0
694,1104.0
695,955.0
696,1034.0
697,957.0
698,1010.0
699,1141.0
700,1170.0
701,1157.0
702,756.0
703,1148.0
704,1087.0
705,1232.0
706,1007.0
707,944.0
708,763.0
709,1075.0
710,983.0
711,1157.0
712,959.0
713,1158.0
714,1028.0
715,1158.0
716,1051.0
717,946.0
718,1098.0
719,1277.0
720,1066.0
721,954.0
722,1063.0
723,1136.0
724,905.0
725,1289.0
726,1044.0
727,1203.0
728,958.0
729,1109.0
730,1124.0
731,962.0
732,1183.0
733,1204.0
734,808.0
735,1125.0
736,853.0
737,994.0
738,1105.0
739,1102.0
740,1314.0
741,1045.0
742,1060.0
743,1072.0
744,1260.0
745,1119.0
746,898.0
747,929.0
748,754.0
749,910.0
750,871.0
751,953.0
752,1218.0
753,1168.0
754,934.0
755,953.0
756,927.0
757,1151.0
758,917.0
759,1326.0
760,922.0
761,985.0
762,1165.0
763,979.0
764,915.0
765,922.0
766,990.0
767,1033.0
768,1140.0
769,1020.0
770,1032.0
771,1083.0
772,1097.0
773,1133.0
774,966.0
775,977.0
776,880.0
777,1046.0
778,1095.0
779,1251.0
780,993.0
781,1188.0
782,1186.0
783,1186.0
784,1127.0
785,1104.0
786,1139.0
787,1146.0
788,1102.0
789,1152.0
790,917.0
791,988.0
792,1319.0
793,1023.0
794,1257.0
795,897.0
796,1299.0
797,1274.0
798,1075.0
799,1015.0
800,1100.0
801,974.0
802,1059.0
803,1196.0
804,770.0
805,1139.0
806,1167.0
807,830.0
808,1095.0
809,986.0
810,1126.0
811,810.0
812,974.0
813,954.0
814,1011.0
815,1047.0
816,962.0
817,1078.0
818,901.0
819,947.0
820,1082.0
821,1130.0
822,1123.0
823,947.0
824,846.0
825,917.0
826,963.0
827,1068.0
828,868.0
829,1060.0
830,1142.0
831,1091.0
832,1007.0
833,1087.0
834,1291.0
835,953.0
836,895.0
837,1152.0
838,1297.0
839,856.0
840,1114.0
841,898.0
842,1118.0
843,1122.0
844,1066.0
845,1132.0
846,1140.0
847,997.0
848,1059.0
849,1146.0
850,1197.0
851,1144.0
852,984.0
853,931.0
854,1122.0
855,1198.0
856,1057.0
857,972.0
858,986.0
859,1230.0
860,1079.0
861,980.0
862,844.0
863,1321.0
864,831.0
865,1174.0
866,946.0
867,1221.0
868,1164.0
869,1114.0
870,989.0
871,947.0
872,977.0
873,996.0
874,1020.0
875,1071.0
876,998.0
877,1054.0
878,1148.0
879,1021.0
880,1019.0
881,925.0
882,1001.0
883,1078.0
884,1251.0
885,1029.0
886,1150.0
887,1220.0
888,1026.0
889,1027.0
890,1093.0
891,1294.0
892,1193.0
893,926.0
894,896.0
895,1156.0
896,1114.0
897,1111.0
898,1039.0
899,912.0
900,1013.0
901,1017.0
902,856.0
903,747.0
904,944.0
905,973.0
906,1091.0
907,1159.0
908,790.0
909,954.0
910,1092.0
911,951.0
912,1036.0
913,995.0
914,1175.0
915,994.0
916,1113.0
917,1008.0
918,1134.0
919,1245.0
920,848.0
921,1133.0
922,1231.0
923,891.0
924,1076.0
925,927.0
926,1033.0
927,991.0
928,1138.0
929,1187.0
930,1439.0
931,1128.0
932,1048.0
933,1180.0
934,1070.0
935,1016.0
936,1098.0
937,1338.0
938,1281.0
939,1132.0
940,899.0
941,1172.0
942,1094.0
943,1000.0
944,1078.0
945,925.0
946,1141.0
947,1103.0
948,1040.0
949,1111.0
950,1185.0
951,1043.0
952,1091.0
953,1046.0
954,1136.0
955,1085.0
956,889.0
957,1036.0
958,1046.0
959,1129.0
960,1112.0
961,1150.0
962,1024.0
963,1145.0
964,1164.0
965,1096.0
966,984.0
967,1117.0
968,928.0
969,844.0
970,893.0
971,1147.0
972,1068.0
973,1207.0
974,1244.0
975,1108.0
976,1115.0
977,1005.0
978,942.0
979,1036.0
980,1191.0
981,1028.0
982,1254.0
983,921.0
984,962.0
985,1000.0
986,958.0
987,1219.0
988,777.0
989,1136.0
990,1255.0
991,893.0
992,1036.0
993,1006.0
994,817.0
995,1167.0
996,965.0
997,886.0
998,1192.0
999,1202.0
